sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
DECANTER_001,,Default,simple,"Wine,Wine/Utensílios",wine_br,Decanter Amadeo Mini,,"<p>Este Decanter feito 100% à mão compartilha a mesma forma elegante de harpa, e é uma cópia em miniatura do icônico e premiado Amadeo, o qual foi introduzido no mercado no ano de 2006. O design em forma de escultura do Amadeo Mini é suficiente para torná-lo uma verdadeira obra de arte, sendo um dos Decanters favoritos dos artistas e especialistas de vinho.<br />Agora estão disponíveis seis novos Decanters em uma edição limitada em tamanhos menores, todos inspirados nos itens mais vendidos produzidos artesanalmente em Kufstein. Todos foram projetados para armazenar meias garrafas de vinho, o que é perfeito para beber uma garrafa inteira em duas sessões. Cada peça é única, feita à mão e soprada artesanalmente. A Riedel acredita que todos os vinhos se beneficiam muito com a decantação, seja ele jovem ou velho, tintos ou brancos, ou até espumantes.</p>",1.500000,1,Taxable Goods,"Catalog, Search",3365.550000,,,,decanter-amadeo-mini,Decanter Amadeo Mini,Decanter Amadeo Mini,Decanter Amadeo Mini ,DecanterA1.png,,DecanterA1.png,,DecanterA1.png,,,,23/05/2022 11:35,23/05/2022 12:06,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Austria,,10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,DecanterA1.png,,,,,,,,,,,,,,
SACAROLHA_002,,Default,simple,"Wine,Wine/Utensílios",wine_br,Saca rolha Pulltaps Basic Verde com logo Mistral ,,"<p class=""text-about-wine"">Abridor dois estágios, o mesmo utilizado pelos sommeliers.</p>",0.400000,1,Taxable Goods,"Catalog, Search",81.900000,,,,saca-rolha-pulltaps-basic-verde-com-logo-mistral,Saca rolha Pulltaps Basic Verde com logo Mistral ,Saca rolha Pulltaps Basic Verde com logo Mistral ,Saca rolha Pulltaps Basic Verde com logo Mistral  ,sacaR2.jpg,,sacaR2.jpg,,sacaR2.jpg,,,,23/05/2022 11:37,23/05/2022 12:06,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Spain,,40.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,sacaR2.jpg,,,,,,,,,,,,,,
DECANTER_002,,Default,simple,"Wine,Wine/Utensílios",wine_br,Decanter Mamba Mini,,"<p>Este Decanter feito à mão faz referência ao inovador design de 2011 do Mamba, que virou umas sensação no mundo em sua época. Agora estão disponíveis seis novos Decanters em uma edição limitada em tamanhos menores, todos inspirados nos itens mais vendidos produzidos artesanalmente em Kufstein. Todos foram projetados para armazenar meias garrafas de vinho, o que é perfeito para beber uma garrafa inteira em duas sessões. Cada peça é única, feita à mão e soprada artesanalmente. A Riedel acredita que todos os vinhos se beneficiam muito com a decantação, seja ele jovem ou velho, tintos ou brancos, ou até espumantes.</p>",1.500000,1,Taxable Goods,"Catalog, Search",3365.55,,,,decanter-mamba-mini,Decanter Mamba Mini,Decanter Mamba Mini,Decanter Mamba Mini ,DecanterM2.png,,DecanterM2.png,,DecanterM2.png,,,,23/05/2022 11:39,23/05/2022 12:06,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,Austria,,30.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,DecanterM2.png,,,,,,,,,,,,,,
KIT_ESSENTIAL,,Default,grouped,"Wine,Wine/Kits",wine_br,Kit Essential,,<p>Kit inicial para qualquer sommelier.</p>,,1,,"Catalog, Search",,,,,kit-essential,Kit Essential,Kit Essential,Kit Essential ,essential.png,,essential.png,,essential.png,,,,23/05/2022 11:42,23/05/2022 12:06,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"sacaR2.jpg,DecanterA1.png,sacaR.jpg",,,,,,,,,,"SACAROLHA_002=0.000000,DECANTER_001=0.000000,SACAROLHA_001=0.000000",,,,
Assinatura_Mensal,,Default,virtual,"Wine,Wine/Assinaturas",wine_br,Assinatura Mensal,,"<p><strong>Assinando agora você ainda recebe no primeiro mês 2 taças de cristal exclusivas!</strong></p>
<p>Faça assinatura mensal e receba todo mês um kit com 2 vinhos <strong>escolhidos a dedo</strong>  por nossos especialistas.</p>",,1,Taxable Goods,"Catalog, Search",109.900000,,,,assinatura-mensal,Assinatura Mensal,Assinatura Mensal,Assinatura Mensal ,Assinat.png,,Assinat.png,,Assinat.png,,,,23/05/2022 11:53,23/05/2022 12:06,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"Assinat.png,BeniDiBatasiolo.png",,,,,,,,,,,,,,
WINE_001,wsvEN,Wine_Attribute_Set,simple,,,Viña Bouchon País Salvaje 2020,,"<p>A French classic and one of the 5 Premiers Grands Crus Classés of the Médoc classification of 1855. First wine from Château Mouton Rothschild that has aromas of blackberry and blackcurrant associated with notes of violet, roasting, toast, tobacco, chocolate and subtle touches. of cedar. It presents, on the palate, juiciness, harmony, good maturity, velvety tannins and great complexity. The 2008 harvest required patience and rigorous attention to the vines to choose the right time for harvesting. At first, there was a lack of sun in the first half of September, but fortunately a magnificent summer reversed the situation, giving life to a wine, punctuated and acclaimed by international critics, which promises longevity and excellent aromatic and gustatory quality.</p> ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WineType=Red,Year=2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINE_002,wsvEN,Wine_Attribute_Set,simple,,,Château Mouton Rothschild Premier Grand Cru Classé A.O.C. Pauillac 2008,,"<table style=""width: 72.0216%;"" border=""0"" cellspacing=""0""><colgroup width=""84""></colgroup> <tbody> <tr> <td style=""width: 100%;"" align=""left"" height=""17""> <p><strong>Expert opinion:</strong></p> <p>Wine with a persistent, sweet, structured, intense flavor with hints of honey. Passitos are dessert wines made using a method called Passerillage, which consists of the natural drying of the grapes after their harvest. Thus, after the evaporation of the water contained in the grapes, the sugar remains, which enhances their flavors.</p> </td> </tr> </tbody> </table>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WineType=Red,Year=2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINE_003,wsvEN,Wine_Attribute_Set,simple,,,Beni di Batasiolo Muscatel Tardì D.O.C. Piemonte Moscato Passito 2011 375 ml,,"<table border=""0"" cellspacing=""0""> <tbody> <tr> <td align=""left"" height=""17""> <p><strong>Expert opinion:</strong></p> <p>The only white produced by Domaine Baronarques, which produces just three copies, this wine is produced with grapes from a small and specific plot of vineyard. With aging potential, barrels with different degrees of use were used in the maturation of this label, increasing its complexity of aromas and flavors. This vintage was scored 91 by Wine Spectator.</p> </td> </tr> </tbody> </table>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WineType=White,Year=2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINE_004,wsvEN,Wine_Attribute_Set,simple,,,Domaine De Baronarques Blanc 2016,,"<table style=""width: 99.6392%; height: 225px;"" border=""0"" cellspacing=""0""> <tbody> <tr> <td style=""width: 100%;"" align=""left"" height=""17""> <p><strong>Expert opinion:</strong></p> <p>The only white produced by Domaine Baronarques, which produces just three copies, this wine is produced with grapes from a small and specific plot of vineyard. With aging potential, barrels with different degrees of use were used in the maturation of this label, increasing its complexity of aromas and flavors. This vintage was scored 91 by Wine Spectator.</p> </td> </tr> </tbody> </table>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WineType=White,Year=2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINE_005,wsvEN,Wine_Attribute_Set,simple,,,El Bautismo El Criollo Rosado 2021,,"<table style=""width: 100.361%; height: 115px;"" border=""0"" cellspacing=""0""><colgroup width=""84""></colgroup> <tbody> <tr> <td style=""width: 100%;"" align=""left"" height=""32""> <p><strong>Expert opinion:</strong></p> <p>With an uncomplicated and informal style, this rosé is produced with Criolla, a grape native to Argentina. La Liga de Enólogos is a project that challenges the traditional format of the wine world and aims to develop young wines, with an innovative and uncomplicated personality.</p> </td> </tr> </tbody> </table>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WineType=Rosé,Year=2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINE_006,wsvEN,Wine_Attribute_Set,simple,,,Elide I.G.T. Salento Negroamaro Rosé 2019,,"<p><strong>Expert opinion</strong></p> <p>This Italian rosé that comes from the region of Salento, is a wine that balances in its flavor, the bitterness and sweetness of the fruit. Its acidity makes it easy to drink, resulting in a very harmonious wine produced from a typical grape of the region: Negroamaro.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WineType=Rosé,Year=2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP_001,wsvEN,Wine_Attribute_Set,simple,,,Sparkling wine Dadá Nº 7 White Sweet 2021,,"<p><strong>Expert opinion</strong></p> <p><span style=""font-size: 16px;""><strong>Expert opinion:</strong></span></p> <p><span style=""font-size: 16px;""><span style=""font-size: 14px;"">We develop wines to surprise your senses. Defying the traditional, we use methods to accentuate unique notes in each of the varieties. Be irreverent, daring, transform the ordinary into the extraordinary. This is DADÁ! This is a vibrant, young, fruity, delicate and very refreshing sparkling wine, excellent for light and relaxed moments.</span><strong><br /></strong></span></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WineType=Sparkling Wine,Year=2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRI_001,wsvEN,Wine_Attribute_Set,simple,,,Frizz Salton Lunae Branco Demi-Sec,,"<p><strong>Expert opinion</strong></p> <p><span style=""font-size: 16px;""><strong>Expert opinion:</strong></span></p> <p>Delicate and fresh sparkling, with aromas of flowers and fruits. It belongs to the Fresh line, whose products are the most uncompromising expressions of the Salton universe. The great merit of this line is its informality, its focus on being refreshing and light, easy to please and to be enjoyed on any occasion.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WineType=Frizz,Year=2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIT_001,wsvEN,Default,bundle,,,Kit Premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dynamic,dynamic,Price range,dynamic,"name=Produtos:,type=checkbox,required=0,sku=WINE_002,price=0.0000,default=0,default_qty=1.0000,price_type=fixed,can_change_qty=0|name=Produtos:,type=checkbox,required=0,sku=WINE_003,price=0.0000,default=0,default_qty=1.0000,price_type=fixed,can_change_qty=0|name=Produtos:,type=checkbox,required=0,sku=WINE_004,price=0.0000,default=0,default_qty=1.0000,price_type=fixed,can_change_qty=0",,,,,,
SACAROLHA_001,wsvEN,Default,simple,,,Box with two-blade corkscrew,,"<p>Also known as “tweezers”, the blade corkscrew allows you to open the wine without piercing the cork, reducing the risk of breakage.</p> ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECANTER_001,wsvEN,Default,simple,,,Decanter Amadeo Mini,,"<p>This 100% handcrafted Decanter shares the same elegant harp shape, and is a miniature copy of the iconic, award-winning Amadeo, which was introduced to the market in 2006. The sculptural design of the Amadeo Mini is enough to make it a true work of art, being one of the favorite Decanters of artists and wine experts.<br />Six new Decanters are now available in a limited edition in smaller sizes, all inspired by the best-selling handcrafted items. in Kufstein. All are designed to hold half bottles of wine, which is perfect for drinking an entire bottle in two sittings. Each piece is unique, handmade and hand-blown. Riedel believes that all wines benefit greatly from decanting, whether young or old, red or white, or even sparkling.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACAROLHA_002,wsvEN,Default,simple,,,Pulltaps Basic Green corkscrew with Mistral logo,,"<p class=""text-about-wine"">Two-stage opener, the same one used by sommeliers.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
